Description,From (Problem),From (Variation),To (Problem),To (Variation),Reduction ID,Type,Randomized?,Calls,Time Complexity,Space Complexity,Model,Assumption/Hypothesis,Reduction Blow Up,Implications,Implied lower bound power,References,Link,Year,Preserves,Notes,,
,Graph Triangle Problems,Triangle Collection*,Graph Metrics,dynamic 4/3-Diameter,195,,,,,,,SETH or 3SUM Hypothesis or APSP Hypothesis,,"assume: SETH or 3SUM Hypothesis or APSP Hypothesis
then: there exists no static $4/3-\epsilon$ approximation with additive error $O(m^\delta)$ with running time $O(m^{\frac{3}{2}(1-\delta)-\epsilon'})$ or incremental/decremental algorithm with amortized time $O(m^{\frac{1}{2}-\frac{3\delta}{2}-\epsilon'})$ for any $\epsilon,\epsilon' > 0$",0.5,"Dahlgaard, S. (2016). On the hardness of partially dynamic graph problems and connections to diameter. arXiv preprint arXiv:1602.06705.",https://arxiv.org/abs/1602.06705,2016,,,,
,Matrix Product,Combinatorial BMM,Vertex Reachability,2-sensitive incremental st-reach,196,,,,,,,BMM Hypothesis,,"assume: BMM
then: combinatorial algorithms cannot solve target with preprocessing time $O(n^{3-\epsilon})$, and update and query times $O(n^{2-\epsilon})$ for any $\epsilon > 0$",2,"Henzinger, M., Lincoln, A., Neumann, S., & Williams, V. V. (2017). Conditional hardness for sensitivity problems. arXiv preprint arXiv:1703.01638.",https://arxiv.org/pdf/1703.01638.pdf,2017,,,,
,Matrix Product,Combinatorial BMM,Vertex Reachability,1-sensitive incremental ss-reach,197,,,,,,,BMM Hypothesis,,"assume: BMM
then: combinatorial algorithms cannot solve target with preprocessing time $O(n^{3-\epsilon})$, and update and query times $O(n^{2-\epsilon})$ for any $\epsilon > 0$",2,"Henzinger, M., Lincoln, A., Neumann, S., & Williams, V. V. (2017). Conditional hardness for sensitivity problems. arXiv preprint arXiv:1703.01638.",https://arxiv.org/pdf/1703.01638.pdf,2017,,,,
,Matrix Product,Combinatorial BMM,Vertex Reachability,ap-reach,198,,,,,,,BMM Hypothesis,,"assume: BMM
then: combinatorial algorithms cannot solve target with preprocessing time $O(n^{3-\epsilon})$, and update and query times $O(n^{2-\epsilon})$ for any $\epsilon > 0$",2,"Henzinger, M., Lincoln, A., Neumann, S., & Williams, V. V. (2017). Conditional hardness for sensitivity problems. arXiv preprint arXiv:1703.01638.",https://arxiv.org/pdf/1703.01638.pdf,2017,,,,
,Matrix Product,Combinatorial BMM,"Shortest Path
(Directed graphs)",2-sensitive (7/5)-approximate st-shortest paths,199,,,,,,,BMM Hypothesis,,"assume: BMM
then: combinatorial algorithms cannot solve target with preprocessing time $O(n^{3-\epsilon})$, and update and query times $O(n^{2-\epsilon})$ for any $\epsilon > 0$ in undirected unweighted graphs",2,"Henzinger, M., Lincoln, A., Neumann, S., & Williams, V. V. (2017). Conditional hardness for sensitivity problems. arXiv preprint arXiv:1703.01638.",https://arxiv.org/pdf/1703.01638.pdf,2017,,,,
,Matrix Product,Combinatorial BMM,"Shortest Path
(Directed graphs)",1-sensitive (3/2)-approximate ss-shortest paths,200,,,,,,,BMM Hypothesis,,"assume: BMM
then: combinatorial algorithms cannot solve target with preprocessing time $O(n^{3-\epsilon})$, and update and query times $O(n^{2-\epsilon})$ for any $\epsilon > 0$ in undirected unweighted graphs",2,"Henzinger, M., Lincoln, A., Neumann, S., & Williams, V. V. (2017). Conditional hardness for sensitivity problems. arXiv preprint arXiv:1703.01638.",https://arxiv.org/pdf/1703.01638.pdf,2017,,,,
,Matrix Product,Combinatorial BMM,"Shortest Path
(Directed graphs)",(5/3)-approximate ap-shortest paths,201,,,,,,,BMM Hypothesis,,"assume: BMM
then: combinatorial algorithms cannot solve target with preprocessing time $O(n^{3-\epsilon})$, and update and query times $O(n^{2-\epsilon})$ for any $\epsilon > 0$",2,"Henzinger, M., Lincoln, A., Neumann, S., & Williams, V. V. (2017). Conditional hardness for sensitivity problems. arXiv preprint arXiv:1703.01638.",https://arxiv.org/pdf/1703.01638.pdf,2017,,,,
,Matrix Product,Combinatorial BMM,Graph Metrics,1-sensitive (4/3)-approximate decremental diameter,202,,,,,,,BMM Hypothesis,,"assume: BMM
then: combinatorial algorithms cannot solve target with preprocessing time $O(n^{3-\epsilon})$, and update and query times $O(n^{2-\epsilon})$ for any $\epsilon > 0$ in undirected unweighted graphs",2,"Henzinger, M., Lincoln, A., Neumann, S., & Williams, V. V. (2017). Conditional hardness for sensitivity problems. arXiv preprint arXiv:1703.01638.",https://arxiv.org/pdf/1703.01638.pdf,2017,,,,
,Matrix Product,Combinatorial BMM,Graph Metrics,1-sensitive (4/3)-approximate decremental eccentricity,203,,,,,,,BMM Hypothesis,,"assume: BMM
then: combinatorial algorithms cannot solve target with preprocessing time $O(n^{3-\epsilon})$, and update and query times $O(n^{2-\epsilon})$ for any $\epsilon > 0$",2,"Henzinger, M., Lincoln, A., Neumann, S., & Williams, V. V. (2017). Conditional hardness for sensitivity problems. arXiv preprint arXiv:1703.01638.",https://arxiv.org/pdf/1703.01638.pdf,2017,,,,
,Matrix Product,Combinatorial BMM,"Shortest Path
(Directed graphs)",1-sensitive decremental st-shortest paths,204,,,,,,,BMM Hypothesis,,"assume: BMM
then: for directed unweighted graphs with $n$ vertices and $m \geq n$ edges require either $m^{1-o(1)}\sqrt{n}$ preprocessing time or $m^{1-o(1)}/\sqrt{n}$ query time for every function $m$ of $n$",1,"Henzinger, M., Lincoln, A., Neumann, S., & Williams, V. V. (2017). Conditional hardness for sensitivity problems. arXiv preprint arXiv:1703.01638.",https://arxiv.org/pdf/1703.01638.pdf,2017,,,,
,"Shortest Path
(Directed graphs)",Replacement Paths Problem (RPP),"Shortest Path
(Directed graphs)",1-sensitive decremental st-shortest paths,205,,,,,,,APSP Hypothesis,,"assume: APSP Hypothesis
then: target cannot be solved with preprocessing time $O(n^{3-\epsilon})$ and update and query times $O(n^{2-\epsilon})$ for any $\epsilon > 0$ in directed weighted graphs",2,"Henzinger, M., Lincoln, A., Neumann, S., & Williams, V. V. (2017). Conditional hardness for sensitivity problems. arXiv preprint arXiv:1703.01638.",https://arxiv.org/pdf/1703.01638.pdf,2017,,,,
,All-Pairs Shortest Paths (APSP),"Directed, Weighted APSP","Shortest Path
(Directed graphs)",2-sensitive decremental st-shortest paths,206,,,,,,,APSP Hypothesis,,"assume: APSP Hypothesis
then: target cannot be solved with preprocessing time $O(n^{3-\epsilon})$ and update and query times $O(n^{2-\epsilon})$ for any $\epsilon > 0$ in undirected weighted graphs",2,"Henzinger, M., Lincoln, A., Neumann, S., & Williams, V. V. (2017). Conditional hardness for sensitivity problems. arXiv preprint arXiv:1703.01638.",https://arxiv.org/pdf/1703.01638.pdf,2017,,,,
,All-Pairs Shortest Paths (APSP),"Directed, Weighted APSP",Graph Metrics,1-sensitive decremental diameter,207,,,,,,,APSP Hypothesis,,"assume: APSP Hypothesis
then: target cannot be solved with preprocessing time $O(n^{3-\epsilon})$ and update and query times $O(n^{2-\epsilon})$ for any $\epsilon > 0$ in undirected weighted graphs",2,"Henzinger, M., Lincoln, A., Neumann, S., & Williams, V. V. (2017). Conditional hardness for sensitivity problems. arXiv preprint arXiv:1703.01638.",https://arxiv.org/pdf/1703.01638.pdf,2017,,,,
,Boolean Satisfiabiltiy,CNF-SAT,Vertex Reachability,sensitive incremental #SSR,208,,,,,,,SETH,,"assume: SETH
then: let $\epsilon > 0$, $t \in \mathbb{N}$, there exists no algorithm for target with preprocessing time $O(n^t)$, update time $u(n)$ and query time $q(n)$, such that $max\{u(n),q(n)\}=O(n^{1-\epsilon})$ with constant sensitivity $K(\epsilon,t)$",1,"Henzinger, M., Lincoln, A., Neumann, S., & Williams, V. V. (2017). Conditional hardness for sensitivity problems. arXiv preprint arXiv:1703.01638.",https://arxiv.org/pdf/1703.01638.pdf,2017,,,,
,Boolean Satisfiabiltiy,CNF-SAT,Graph Metrics,constant sensitivity (4/3)-approximate incremental diameter,209,,,,,,,SETH,,"assume: SETH
then: let $\epsilon > 0$, $t \in \mathbb{N}$, there exists no algorithm for target with preprocessing time $O(n^t)$, update time $u(n)$ and query time $q(n)$, such that $max\{u(n),q(n)\}=O(n^{1-\epsilon})$ with constant sensitivity $K(\epsilon,t)$",1,"Henzinger, M., Lincoln, A., Neumann, S., & Williams, V. V. (2017). Conditional hardness for sensitivity problems. arXiv preprint arXiv:1703.01638.",https://arxiv.org/pdf/1703.01638.pdf,2017,,,,
,Boolean Satisfiabiltiy,CNF-SAT,Vertex Reachability,sensitive incremental ST-Reach,210,,,,,,,SETH,,"assume: SETH
then: let $\epsilon > 0$, $t \in \mathbb{N}$, there exists no algorithm for target with preprocessing time $O(n^t)$, update time $u(n)$ and query time $q(n)$, such that $max\{u(n),q(n)\}=O(n^{1-\epsilon})$ with constant sensitivity $K(\epsilon,t)$",1,"Henzinger, M., Lincoln, A., Neumann, S., & Williams, V. V. (2017). Conditional hardness for sensitivity problems. arXiv preprint arXiv:1703.01638.",https://arxiv.org/pdf/1703.01638.pdf,2017,,,,
,Orthogonal Vectors,OV,Bichromatic Hamming Close Pair,Bichromatic Hamming Close Pair,211,,,,,,,OVH,,"assume: OVH
then: there is no algorithm to solve target in time $O(2^{o(d)}n^{2-\epsilon})$ on a set of $n$ points in $\{0,1\}^{c\log n}$",2,"Alman, J., & Williams, R. (2015, October). Probabilistic polynomials and hamming nearest neighbors. In 2015 IEEE 56th Annual Symposium on Foundations of Computer Science (pp. 136-150). IEEE.",https://ieeexplore.ieee.org/abstract/document/7354392,2015,,,,
,Clique,k-Clique,CFG Problems,CFG Recognition,212,,,,,,,k-Clique Hypothesis,,"assume: k-Clique Hypothesis
then: there is no $O(N^{\omega-\epsilon})$ time algorithm for target for any $\epsilon > 0$",\Omega,"Abboud, A., Backurs, A., Bringmann, K., & Künnemann, M. (2017, October). Fine-grained complexity of analyzing compressed data: Quantifying improvements over decompress-and-solve. In 2017 IEEE 58th Annual Symposium on Foundations of Computer Science (FOCS) (pp. 192-203). IEEE.",https://ieeexplore.ieee.org/abstract/document/8104058,2017,,,,
,Clique,k-Clique,RNA Folding,RNA Folding,213,,,,,,,k-Clique Hypothesis,,"assume: k-Clique Hypothesis
then: there is no $O(N^{\omega-\epsilon})$ time algorithm for target for any $\epsilon > 0$",\Omega,"Abboud, A., Backurs, A., Bringmann, K., & Künnemann, M. (2017, October). Fine-grained complexity of analyzing compressed data: Quantifying improvements over decompress-and-solve. In 2017 IEEE 58th Annual Symposium on Foundations of Computer Science (FOCS) (pp. 192-203). IEEE.",https://ieeexplore.ieee.org/abstract/document/8104058,2017,,,,
,Clique,k-Clique,CFG Problems,CFG Recognition,214,,,,,,combinatorial,k-Clique Hypothesis,,"assume: k-Clique Hypothesis
then: there is no $O(N^{3-\epsilon})$ time combinatorial algorithm for target for any $\epsilon > 0$",3,"Abboud, A., Backurs, A., Bringmann, K., & Künnemann, M. (2017, October). Fine-grained complexity of analyzing compressed data: Quantifying improvements over decompress-and-solve. In 2017 IEEE 58th Annual Symposium on Foundations of Computer Science (FOCS) (pp. 192-203). IEEE.",https://ieeexplore.ieee.org/abstract/document/8104058,2017,,,,
,Clique,k-Clique,RNA Folding,RNA Folding,215,,,,,,combinatorial,k-Clique Hypothesis,,"assume: k-Clique Hypothesis
then: there is no $O(N^{3-\epsilon})$ time combinatorial algorithm for target for any $\epsilon > 0$",3,"Abboud, A., Backurs, A., Bringmann, K., & Künnemann, M. (2017, October). Fine-grained complexity of analyzing compressed data: Quantifying improvements over decompress-and-solve. In 2017 IEEE 58th Annual Symposium on Foundations of Computer Science (FOCS) (pp. 192-203). IEEE.",https://ieeexplore.ieee.org/abstract/document/8104058,2017,,,,
,Boolean Satisfiability,CNF-SAT,The Subset-Sum Problem,Subset Sum,216,,,,,,,SETH,,"assume: SETH
then: for any $\epsilon > 0$ there exists a $\delta > 0$ such that Subset Sum is not in time $O(T^{1-\epsilon}2^{\delta n})$, and $k$-Sum is not in time $O(T^{1-\epsilon}n^{\delta k})$",,"Abboud, A., Bringmann, K., Hermelin, D., & Shabtay, D. (2022). SETH-based lower bounds for subset sum and bicriteria path. ACM Transactions on Algorithms (TALG), 18(1), 1-22.",https://dl.acm.org/doi/full/10.1145/3450524,2022,,,,
,Orthogonal Vectors,OV,Graph Isomorphism Problem,Subtree Isomorphism,217,,,,,,,OVH,,"assume: OVH
then: for all $d \geq 2$, target on two rooted unordered trees of size $O(n)$, degree $d$, and height $h \leq 2\log_d n + O(\log \log n)$ cannot be solved in truly subquadratic $O(n^{2-\epsilon})$ time",2,"Abboud, A., Backurs, A., Hansen, T. D., Vassilevska Williams, V., & Zamir, O. (2018). Subtree isomorphism revisited. ACM Transactions on Algorithms (TALG), 14(3), 1-23.",https://dl.acm.org/doi/pdf/10.1145/3093239,2018,,,,
,Orthogonal Vectors,OV,Graph Isomorphism Problem,Largest Common Subtree,218,,,,,,,OVH,,"assume: OVH
then: for all constants $d \geq 2$, target on two rooted trees of size at most $n$, degree $d$, and height $h \leq \log_d n + O(\log \log n)$ cannot be solved in truly subquadtratic $O(n^{2-\epsilon})$ time",2,"Abboud, A., Backurs, A., Hansen, T. D., Vassilevska Williams, V., & Zamir, O. (2018). Subtree isomorphism revisited. ACM Transactions on Algorithms (TALG), 14(3), 1-23.",https://dl.acm.org/doi/pdf/10.1145/3093239,2018,,,,
,Graph Triangle Problems,Combinatorial Triangle Detection,Model-Checking Problem,Disjunctive coBüchi Objectives,219,,,,,,,Strong Triangle,,"assume: Strong Triangle
then: there is no combinatorial $O(n^{3-\epsilon})$ or $O((k\cdot n^2)^{1-\epsilon})$-time algorithm for any $epsilon > 0$ for generalized Büchi games. In particular, there is no such algorithm deciding whether the winning set is non-empty or deciding whether a specific vertex is in the winning set.",3,"Chatterjee, K., Dvořák, W., Henzinger, M., & Loitzenbauer, V. (2016). Conditionally Optimal Algorithms for Generalized B\"" uchi Games. arXiv preprint arXiv:1607.05850.",https://arxiv.org/pdf/1607.05850.pdf,2016,,,,
,Orthogonal Vectors,OV,Model-Checking Problem,Generalized Büchi Games,220,,,,,,,OVH,,"assume: OVH
then: there is no $O(m^{2-\epsilon})$ or $O(\min_{1 \leq i \leq k} b_i \cdot (k \cdot m)^{1-\epsilon})$-time algorithm (for any $\epsilon > 0$ for generalized Büchi games. In particular there is no such algorithm for deciding whether the winning set is non-empty  or deciding whether a specifc vertex is in the winning set.",2,"Chatterjee, K., Dvořák, W., Henzinger, M., & Loitzenbauer, V. (2016). Conditionally Optimal Algorithms for Generalized B\"" uchi Games. arXiv preprint arXiv:1607.05850.",https://arxiv.org/pdf/1607.05850.pdf,2016,,,,
,Graph Triangle Problems,Combinatorial Triangle Detection,Model-Checking Problem,Disjunctive Reachability Queries in MDPs,221,,,,,,,Strong Triangle,,"assume: Strong Triangle
then: there is no combinatorial $O(n^{3-\epsilon})$ or $O((k \cdot n^2)^{1-\epsilon})$ algorithm for any $\epsilon > 0$ for target. The bounds holf for dense MDPs with $m=\Theta(n^2)$",3,"Chatterjee, Krishnendu, et al. ""Model and objective separation with conditional lower bounds: Disjunction is harder than conjunction."" Proceedings of the 31st Annual ACM/IEEE Symposium on Logic in Computer Science. 2016.",https://dl.acm.org/doi/pdf/10.1145/2933575.2935304,2016,,,,
,Orthogonal Vectors,OV,Model-Checking Problem,Disjunctive Reachability Queries in MDPs,222,,,,,,,Strong Triangle,,"assume: Strong Triangle
then: there is no $O(m^{2-\epsilon})$ or $O((k \cdot m)^{1-\epsilon})$ algorithm, for any $\epsilon > 0$ for target.",2,"Chatterjee, Krishnendu, et al. ""Model and objective separation with conditional lower bounds: Disjunction is harder than conjunction."" Proceedings of the 31st Annual ACM/IEEE Symposium on Logic in Computer Science. 2016.",https://dl.acm.org/doi/pdf/10.1145/2933575.2935304,2016,,,,
,Graph Triangle Problems,Combinatorial Triangle Detection,Model-Checking Problem,Disjunctive Queries of Safety in Graphs,223,,,,,,combinatorial,Strong Triangle,,"assume: Strong Triangle
then: there is no combinatorial $O(n^{3-\epsilon})$ or $O((k \cdot n^2)^{1-\epsilon})$ algorithm, for any $\epsilon > 0$ for disjunctive safety (objectives or queries) in graphs.",3,"Chatterjee, Krishnendu, et al. ""Model and objective separation with conditional lower bounds: Disjunction is harder than conjunction."" Proceedings of the 31st Annual ACM/IEEE Symposium on Logic in Computer Science. 2016.",https://dl.acm.org/doi/pdf/10.1145/2933575.2935304,2016,,,,
,Orthogonal Vectors,OV,Model-Checking Problem,Disjunctive Queries of Safety in Graphs,224,,,,,,,OVH,,"assume: OVH
then: there is no $O(m^{2-\epsilon})$ or $O((k \cdot m)^{1 - \epsilon})$ algorithm for any $\epsilon > 0$ for disjunctive safety ovjectives/queries in MDPs.",2,"Chatterjee, Krishnendu, et al. ""Model and objective separation with conditional lower bounds: Disjunction is harder than conjunction."" Proceedings of the 31st Annual ACM/IEEE Symposium on Logic in Computer Science. 2016.",https://dl.acm.org/doi/pdf/10.1145/2933575.2935304,2016,,,,
,Maximum Inner Product Search,Maximum Inner Product Search,Stable Matching Problems,Boolean d-Attribute Stable Matching,225,,,,,,,OVH,,"assume: OVH
then: for an $\epsilon > 0$ there is a $c$ such that finding a stable matching in the boolean $d$-attribute model with $d = c\log n$ dimensions requires time $\Omega(n^{2-\epsilon})$.",2,"Moeller, Daniel, Ramamohan Paturi, and Stefan Schneider. ""Subquadratic algorithms for succinct stable matching."" International Computer Science Symposium in Russia. Springer, Cham, 2016.",https://arxiv.org/pdf/1510.06452.pdf,2016,,,,
,Maximum Inner Product Search,Maximum Inner Product Search,Stable Matching Problems,Stable Matching Verification,226,,,,,,,OVH,,"assume: OVH
then: for an $\epsilon > 0$ there is a $c$ such that verifying a stable matching in the boolean $d$-attribute model with $d = c\log n$ dimensions requires time $\Omega(n^{2-\epsilon}).",2,"Moeller, Daniel, Ramamohan Paturi, and Stefan Schneider. ""Subquadratic algorithms for succinct stable matching."" International Computer Science Symposium in Russia. Springer, Cham, 2016.",https://arxiv.org/pdf/1510.06452.pdf,2016,,,,
,Maximum Inner Product Search,Maximum Inner Product Search,Stable Matching Problems,Stable Pair Checking,227,,,,,,,OVH,,"assume: OVH
then: for any $\epsilon > 0$, there is a $c$ such that determining whether a given pair is part of any or all stable matchings in the boolean $d$-attribute model with $d = c\log n$ dimensions requires time $\Omega(n^{2-\epsilon})$",2,"Moeller, Daniel, Ramamohan Paturi, and Stefan Schneider. ""Subquadratic algorithms for succinct stable matching."" International Computer Science Symposium in Russia. Springer, Cham, 2016.",https://arxiv.org/pdf/1510.06452.pdf,2016,,,,
,Maximum Inner Product Search,Maximum Inner Product Search,Stable Matching Problems,Stable Pair Checking,228,,,,,,co-nondeterministic Turing Machine,NSETH,,"assume: NSETH
then: for any $\epsilon > 0$ there is a $c$ such that determining whether a gaiven pair is part of any or all stable matching in the boolean $d$-attribute model with $d = c\log n$ dimensions requires co-nondeterministic time $\Omega(n^{2-\epsilon})$",2,"Moeller, Daniel, Ramamohan Paturi, and Stefan Schneider. ""Subquadratic algorithms for succinct stable matching."" International Computer Science Symposium in Russia. Springer, Cham, 2016.",https://arxiv.org/pdf/1510.06452.pdf,2016,,,,
,Maximum Inner Product Search,Maximum Inner Product Search,Stable Matching Problems,Stable Pair Checking,229,,,,,,nondeterministic Turing Machine,NSETH,,"assume: NSETH
then: for any $\epsilon > 0$ there is a $c$ such that determining whether a gaiven pair is part of any or all stable matching in the boolean $d$-attribute model with $d = c\log n$ dimensions requires nondeterministic time $\Omega(n^{2-\epsilon})$",2,"Moeller, Daniel, Ramamohan Paturi, and Stefan Schneider. ""Subquadratic algorithms for succinct stable matching."" International Computer Science Symposium in Russia. Springer, Cham, 2016.",https://arxiv.org/pdf/1510.06452.pdf,2016,,,,
,Bichromatic Hamming Close Pair,Bichromatic Hamming Close Pair,Support Vector Machines (SVM),Approximate Hard-Margin SVM,230,,,,,,,SETH,,"assume: SETH
then: let $k(a,a')$ be the Gaussian kernel with $C=100\log n$ and let $\epsilon = \exp(-\omega(\log^2 n))$, then approximating the optimal value of target within multiplicative factor $1+\epsilon$ requires almost quadratic time.",2,"Backurs, A., Indyk, P., & Schmidt, L. (2017). On the fine-grained complexity of empirical risk minimization: Kernel methods and neural networks. Advances in Neural Information Processing Systems, 30.",https://proceedings.neurips.cc/paper/2017/file/635440afdfc39fe37995fed127d7df4f-Paper.pdf,2017,,,,
,Clique,Max-Weight k-Clique,Geometric Covering Problems,Max-Weight Rectangle,231,,,,,,,k-Clique Hypothesis,,"if: to-time: $O(N^{d-\epsilon})$ on $N$ weighted points in $d$ dimensions
then: from-time: $O(n^{k-\epsilon})$ on $n$ vertices, where $k=\lceil d^2\epsilon^{-1}\rceil$",d,"Backurs, Arturs, Nishanth Dikkala, and Christos Tzamos. ""Tight Hardness Results for Maximum Weight Rectangles}}."" 43rd International Colloquium on Automata, Languages, and Programming (ICALP 2016). Vol. 55. Schloss Dagstuhl--Leibniz-Zentrum fuer Informatik, 2016.",https://arxiv.org/pdf/1602.05837.pdf,2016,,,,
,Graph Triangle Problems,Negative Triangle Detection,Maximum Subarray Problem,2D Maximum Subarray,232,,,,,,,APSP,,"if: to-time: $O(n^{3-\epsilon})$ on $n\times n$ matrices
then: from-time: $O(n^{3-\epsilon})$ on $n$ vertex graphs ",3,"Backurs, Arturs, Nishanth Dikkala, and Christos Tzamos. ""Tight Hardness Results for Maximum Weight Rectangles}}."" 43rd International Colloquium on Automata, Languages, and Programming (ICALP 2016). Vol. 55. Schloss Dagstuhl--Leibniz-Zentrum fuer Informatik, 2016.",https://arxiv.org/pdf/1602.05837.pdf,2016,,,,
,All-Pairs Shortest Paths (APSP),"Undirected, Weighted APSP",Maximum Subarray Problem,2D Maximum Subarray,233,,,,,,,APSP,,"if: to-time: $O(n^{3-\epsilon})$ on $n\times n$ matrices
then: from-time: $O(n^{3-\epsilon/10})$ on $n$ vertex graphs ",3,"Backurs, Arturs, Nishanth Dikkala, and Christos Tzamos. ""Tight Hardness Results for Maximum Weight Rectangles}}."" 43rd International Colloquium on Automata, Languages, and Programming (ICALP 2016). Vol. 55. Schloss Dagstuhl--Leibniz-Zentrum fuer Informatik, 2016.",https://arxiv.org/pdf/1602.05837.pdf,2016,,,,
,Clique,Max-Weight k-Clique,Maximum Subarray Problem,Maximum Subarray,234,,,,,,,k-Clique Hypothesis,,"if: to-time: $O(n^{d+\lfloor d/2\rfloor-\epsilon})$ for $d$-dimensional hypercube arrays
then: from-time: $O(n^{k-\epsilon})$ on $n$ vertex graphs for $k=d+\lfloor d/2\rfloor$ ",$d+\lfloor d/2\rfloor$,"Backurs, Arturs, Nishanth Dikkala, and Christos Tzamos. ""Tight Hardness Results for Maximum Weight Rectangles}}."" 43rd International Colloquium on Automata, Languages, and Programming (ICALP 2016). Vol. 55. Schloss Dagstuhl--Leibniz-Zentrum fuer Informatik, 2016.",https://arxiv.org/pdf/1602.05837.pdf,2016,,,,
,Clique,Max-Weight k-Clique,Maximum Subarray Problem,Maximum Square Subarray,235,,,,,,,k-Clique Hypothesis,,"if: to-time: $O(n^{d+1-\epsilon})$ for $d$-dimensional hypercube arrays
then: from-time: $O(n^{k-\epsilon})$ on $n$ vertex graphs for $k=d+1$ ",d+1,"Backurs, Arturs, Nishanth Dikkala, and Christos Tzamos. ""Tight Hardness Results for Maximum Weight Rectangles}}."" 43rd International Colloquium on Automata, Languages, and Programming (ICALP 2016). Vol. 55. Schloss Dagstuhl--Leibniz-Zentrum fuer Informatik, 2016.",https://arxiv.org/pdf/1602.05837.pdf,2016,,,,
,Clique,Max-Weight k-Clique,Geometric Covering Problems,Weighted Depth,236,,,,,,,k-Clique Hypothesis,,"if: to-time: $O(n^{\lfloor d/2\rfloor-\epsilon})$ for $N$ weighted axis-parallel boxes in $\mathbb{R}^d$
then: from-time: $O(n^{k-2\epsilon})$ on $n$ vertex graphs for $k=d$ ",$d+\lfloor d/2\rfloor$,"Backurs, Arturs, Nishanth Dikkala, and Christos Tzamos. ""Tight Hardness Results for Maximum Weight Rectangles}}."" 43rd International Colloquium on Automata, Languages, and Programming (ICALP 2016). Vol. 55. Schloss Dagstuhl--Leibniz-Zentrum fuer Informatik, 2016.",https://arxiv.org/pdf/1602.05837.pdf,2016,,,,
,Orthogonal Vectors,OV,Orthogonal Vectors,k-OV,237,Trivial - subproblem,,,,,,k-OV,,OV is a strict subproblem of k-OV,2,,,,,,,
,Orthogonal Vectors,k-OV,Graph Metrics,Diameter k vs 2k-1,238,,,,,,,,,,,,,,,,,
,Clique,k-Clique,Clique,Max-Weight k-Clique,239,Trivial - subproblem,,,,,,,,,,,,,,,,
,Clique,k-Clique,Clique,Min-Weight k-Clique,240,Trivial - subproblem,,,,,,,,,,,,,,,,
,Boolean Satisfiability,CNF-SAT,Boolean Satisfiability,Max-CNF-SAT,241,Trivial - subproblem,,,,,,,,,,,,,,,,
Combinatorial triangle detection and BMM equivalence,Graph Triangle Problems,Combinatorial Triangle Detection,Matrix Product,Combinatorial BMM,242,Subcubic equivalence,,,,,combinatorial,,,,3,,,,,,,
Combinatorial triangle detection and BMM equivalence,Matrix Product,Combinatorial BMM,Graph Triangle Problems,Combinatorial Triangle Detection,243,Subcubic equivalence,,,,,combinatorial,,,,3,,,,,,,
,Graph Triangle Problems,Triangle Detection,Graph Triangle Problems,Negative Triangle Detection,244,Trivial - subproblem,,,,,,,,,,,,,,,,
,Graph Triangle Problems,Triangle Detection,Graph Triangle Problems,Zero Triangle Detection,245,Trivial - subproblem,,,,,,,,,,,,,,,,
,Graph Triangle Problems,Triangle Detection,Graph Triangle Problems,Triangle Listing,246,Trivial - subproblem,,,,,,,,,,,,,,,,
